name;price;stock;description;categoryRef;imageUrl
SEPATU TENIS ADIZERO CYBERSONIC;2600000;100;Tenis secepat kilat dengan tampilan baru. Pakai sepatu adidas adizero Cybersonic ini untuk tampil unggul di lapangan bertekstur keras. ENERGYRODS yang ringan memungkinkan perubahan arah yang cepat, sedangkan midsole Lightstrike berkepadatan ganda didesain untuk memastikan kamu selalu berada di tempat yang tepat di waktu yang tepat. Upper berbahan mesh dengan zona tahan abrasi Adituff daur ulang yang dibuat dari 60% Boost daur ulang membantumu memacu diri di lapangan tanpa menghakhawatirkan daya tahan.;tennis;https://www.adidas.co.id/media/catalog/product/i/f/if0435_2_footwear_photography_side20lateral20view_grey.jpg
COURTFLASH SPEED TENNIS SHOES;1100000;100;Designed for speed, these adidas Courtflash tennis shoes will have you blazing across all surfaces. With Adituff abrasion resistance at the toe, they're durable enough to keep you pivoting and sprinting without distraction. The lightweight, breathable mesh upper keeps air flowing in the heat of competition.This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;tennis;https://www.adidas.co.id/media/catalog/product/i/f/if0429_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU TENIS GAMECOURT 2.0;900000;100;Tetap percaya diri dalam setiap permainan, set, dan pertandingan. Upper berbahan mesh ringan dan lapisan empuk di bagian tumit membuat sepatu adidas Gamecourt 2.0 ini menjadi mitra tenis yang sempurna. Midsole berbahan sepenuhnya EVA membuatmu tetap nyaman dan terhubung ke lapangan. Outsole Adiwear memastikan traksi yang dapat mengubah permainan di lapangan keras tanpa mengorbankan daya tahan.;tennis;https://www.adidas.co.id/media/catalog/product/i/g/ig9568_2_footwear_photography_side20lateral20view_grey.jpg
SEPATU TENIS SPEED COURTFLASH;825000;100;Membuatmu dapat bergerak dengan cepat di lapangan. Ringan dan breathable;tennis;https://www.adidas.co.id/media/catalog/product/i/g/ig9537_2_footwear_photography_side20lateral20view_grey.jpg
SAMBA MESSI INDOOR BOOTS;2200000;100;Celebrate a football genius in the colours of his world champion team. Developed for quick feet on and off the futsal court, these limited-edition adidas Samba boots come in Argentina's iconic blue and white. Gold details pay tribute to that memorable win in Qatar and Messi's name and logo celebrate the team's legendary number 10. Underneath, a gum rubber outsole grips the ground to keep up with your every move.;football;https://www.adidas.co.id/media/catalog/product/i/d/id3550_1_footwear_photography_side20lateral20center20view_grey.jpg
PREDATOR 24 LEAGUE LOW FIRM GROUND BOOTS;1400000;100;The game's all about goals, and these football boots are crafted to find the net. Every. Time. Target perfection in all-new adidas Predator. Covered in a 3D texture and featuring grippy Strikescale fins on its medial side, the Hybridfeel upper is optimised for accurate shooting. Down below, a full-length Controlplate 2.0 tooling offers stability to cut, swerve and score on firm ground. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;football;https://www.adidas.co.id/media/catalog/product/i/g/ig7763_1_footwear_photography_side20lateral20center20view_grey.jpg
SUPER SALA II INDOOR BOOTS;900000;100;Own the futsal court in these iconic indoor boots from adidas. Built for fast-moving football, they have a durable synthetic forefoot and breathable mesh tongue to keep you comfortable until you're back in the changing rooms. An indoor-specific rubber outsole provides game-changing rotation and grip, so you can shift direction on a dime. Hit the court and lace up a legend. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;football;https://www.adidas.co.id/media/catalog/product/i/e/ie7556_1_footwear_photography_side20lateral20center20view_grey.jpg
PREDATOR 24 ELITE LACELESS FIRM GROUND BOOTS;3800000;100;The game's all about goals, and these football boots are crafted to find the net. Every. Time. Target perfection in all-new adidas Predator. A laceless HybridTouch 2.0 upper delivers supreme flexibility. Strategically placed onto it, rubber Strikeskin fins add biting grip for precision shooting. The adidas PRIMEKNIT collar and full-length Controlframe 2.0 outsole ensure comfortable play on firm ground. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;football;https://www.adidas.co.id/media/catalog/product/i/e/ie1807_1_footwear_photography_side20lateral20center20view_grey.jpg
PREDATOR 24 LEAGUE INDOOR BOOTS;1400000;100;The game's all about goals, and these football boots are crafted to find the net. Every. Time. Target perfection in all-new adidas Predator. The suede and mesh upper combines comfort and breathability for turbo-charged indoor play. Underneath, a lightweight Lightstrike midsole and low-profile outsole ensure you're always ready to react. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;football;https://www.adidas.co.id/media/catalog/product/i/g/ig5454_1_footwear_photography_side20lateral20center20view_grey.jpg
COPA PURE II LEAGUE FIRM GROUND BOOTS;1200000;100;To truly run a game, you need to keep your teammates close and the ball closer. Find the freedom to conduct play in comfortable, classy adidas Copa Pure II. Boasting heritage details and a cow leather forefoot, these football boots look and feel iconic. The firm ground outsole keeps your play stylish on dry natural grass. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;football;https://www.adidas.co.id/media/catalog/product/i/f/if5448_1_footwear_photography_side20lateral20center20view_grey.jpg
X CRAZYFAST CLUB INDOOR BOOTS;900000;100;Nothing beats the rush of pure speed. Change the game in an instant and leave defenders trailing with lightweight adidas X Crazyfast. The grippy rubber outsole on these football boots is all about keeping you quick on flat, indoor surfaces. Soft and durable, the coated textile upper delivers a solid feel for the ball when you're dribbling at speed. EVA in the midsole and a perforated tongue dial up the comfort.This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.;football;https://www.adidas.co.id/media/catalog/product/i/f/if0722_1_footwear_photography_side20lateral20center20view_grey.jpg
KAISER 5 LIGA BOOTS;1600000;100;Defend your pitch with these legendary boots. Full grain leather and quick-drying synthetic lining make them worthy of their sterling reputation. Best for play on firm ground.;football;https://www.adidas.co.id/media/catalog/product/0/3/033201_2_footwear_photography_side_lateral_view_grey.jpg
